actor,awards,country,director,genre,language,metascore,plot,poster,rated,released,response,runtime,title,type,writer,year,imdb_id,imdb_votes,rating_imdb,rating_rotten,rating_metacritic
"Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard",N/A,"USA, India, South Korea, China","Richard Finn, Tim Maltby","Animation, Adventure, Comedy, Family",English,N/A,"An ancient Chinese artifact has been stolen by a villainous archaeologist named Dexter. With the help of his Lemming friends, Norm must keep his word and embark on a journey across the ...",https://m.media-amazon.com/images/M/MV5BNjMwZDhhZWYtOTM0OC00ZTQzLWIyNDktNDM1NmVkYTY4NWNlXkEyXkFqcGdeQXVyNTYyNDUxMDc@._V1_SX300.jpg,Not Rated,02 Aug 2019,True,90 min,Norm of the North: King Sized Adventure,movie,Dean Stefan,2019,tt9428190,290,3.2/10,36%,
"Jandino Asporaat, Giorgio Costa, Lorenzo Elstak, Hubert Lourens",N/A,Netherlands,N/A,Comedy,"English, Dutch",N/A,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",https://m.media-amazon.com/images/M/MV5BMWE3MGVjZDktODE1YS00ZTg0LThkMDItYWMwZjE3OTI2YWQwXkEyXkFqcGdeQXVyNDY1ODY3Mw@@._V1_SX300.jpg,N/A,N/A,True,95 min,Jandino: Whatever it Takes,movie,N/A,2016,tt6999080,15,5.4/10,,
"Peter Cullen, Sumalee Montano, Jeffrey Combs, Frank Welker",14 wins & 26 nominations.,USA,N/A,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",English,N/A,In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.,https://m.media-amazon.com/images/M/MV5BMTczNDM3MzY1Nl5BMl5BanBnXkFtZTcwOTg5NjU1OQ@@._V1_SX300.jpg,TV-Y7,26 Nov 2010,True,30 min,Transformers Prime,series,N/A,2010–2013,tt1659175,"5,258",7.9/10,,
"Khary Payton, Mitchell Whitfield, Will Friedle, Constance Zimmer",2 wins & 11 nominations.,USA,N/A,"Animation, Action, Adventure, Comedy, Sci-Fi",English,N/A,"When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes.",https://m.media-amazon.com/images/M/MV5BMjMwNTIxNzEwMV5BMl5BanBnXkFtZTgwNDMwMDI1NTE@._V1_SX300.jpg,TV-Y7,14 Mar 2015,True,22 min,Transformers: Robots in Disguise,series,N/A,2014–2020,tt3604232,799,6.0/10,,
"François-Joseph Cullioli, Aziz El Hadachi, Hamza Meziani, Joseph-Marie Ebrard",2 nominations.,France,Thierry de Peretti,Drama,"French, Arabic",N/A,"A group of beautiful but morally bankrupt teenagers live the fast life in the dark side of beautiful Corsica, but things spiral out of control when one of their number wants to confess their crimes.",https://m.media-amazon.com/images/M/MV5BODYyOTQ2MTA0NF5BMl5BanBnXkFtZTgwOTgzNjgwOTE@._V1_SX300.jpg,UNRATED,14 Aug 2013,True,82 min,Apaches,movie,"Benjamin Baroche, Thierry de Peretti",2013,tt2848070,272,5.8/10,31%,
"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen",6 nominations.,"Spain, Bulgaria",Gabe Ibáñez,"Action, Drama, Sci-Fi, Thriller",English,37,Human race is at edge of the end. Robot race is at edge of the beginning.,https://m.media-amazon.com/images/M/MV5BNzgyMDcyMjMwMV5BMl5BanBnXkFtZTgwNjY5MTA1MjE@._V1_SX300.jpg,R,17 Oct 2014,True,109 min,Automata,movie,"Gabe Ibáñez, Igor Legarreta, Javier Sánchez Donate",2014,tt1971325,"53,767",6.1/10,29%,37/100
N/A,N/A,Chile,"Francisco Schultz, Rodrigo Toro Solovera",Comedy,Spanish,N/A,N/A,N/A,N/A,01 Sep 2017,True,N/A,Fabrizio Copano: Solo Pienso en Mi,movie,N/A,2017,tt8134310,N/A,,,
N/A,1 nomination.,USA,N/A,Documentary,English,N/A,"As the 2016 fire season rages in California, The brave backcountry firefighters race to put out the flames, save lives and protect homes in this docuseries.",https://m.media-amazon.com/images/M/MV5BNmQwZWQ0OWYtMDEyOS00NjQ3LWEwY2YtNjZkOWVmOWJlY2YzXkEyXkFqcGdeQXVyMjY0OTI5NTM@._V1_SX300.jpg,N/A,08 Sep 2017,True,N/A,Fire Chasers,series,N/A,2017,tt7293754,318,6.6/10,,
"Sam Spruell, Michael Fox, Diarmaid Murtagh, Francis Magee",N/A,"USA, UK, Denmark, Sweden",Henrik Ruben Genz,"Action, Crime, Thriller",English,42,"Discovering a stash of cash in their dead tenant's apartment, a couple in debt take the money and find themselves the target of a deadly adversary - the thief who stole it.",https://m.media-amazon.com/images/M/MV5BMTQxOTk5ODc0Nl5BMl5BanBnXkFtZTgwNDA3MzExMjE@._V1_SX300.jpg,R,21 Aug 2015,True,90 min,Good People,movie,"Marcus Sakey (based on the novel by), Kelly Masterson (screenplay by)",2014,tt1361318,"15,340",5.5/10,12%,42/100
"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins",N/A,"Netherlands, Belgium, UK, USA",Daniel Alfredson,"Action, Crime, Drama, Thriller","English, Dutch, German",33,"The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken in 1983, which resulted in the largest ransom ever paid for an individual.",https://m.media-amazon.com/images/M/MV5BMTYyOTQwODc4NV5BMl5BanBnXkFtZTgwMDgwMzkxNDE@._V1_SX300.jpg,R,06 Mar 2015,True,95 min,Kidnapping Mr. Heineken,movie,"William Brookfield, Peter R. de Vries (book)",2015,tt2917388,"19,236",6.1/10,19%,33/100
